Ticker,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
CIPLA,0.13448493778985143,0.13658374620668887,0.25308019957179156,0.1809020360348956,0.09367295947411836,0.0732480471443236,0.15021452122314027,0.07386023047997414,0.12943961343007304,0.12049355177263452,0.06351102650003655,0.1905014694718348,1.0,0.10175872220755874,0.4032152471056936,0.0906114451006955,0.19472753267207343,0.10772787184144614,0.01527282132399829,0.0662283706570522,0.1606919660074078,0.14563583229008123,0.06396610099581729,0.11693561285076366,0.07588002984132532,0.10830701391425081,0.17206013178992716,0.19802870167512465,0.06842134062604249,0.20064142178349226,0.18108892094991358,0.052545671490383486,0.15133751900729797,0.1221688299890698,0.04545075888639642,0.15835338813518676,0.09357013667360883,0.131489665719497,0.06605774895730622,0.11328622280412322,0.4277976735345666,0.12108941687161373,0.11352520493639529,0.16547497526293728,0.1393431064368661,0.0836602920529637,0.12139515782126323,0.1567133572015591,0.18842954791923178,0.14328045019813324
COALINDIA,0.5990447963706327,0.6489906242832287,0.25233877209170075,0.2888572343122653,0.34424058851222183,0.3217851080822888,0.2749439072074165,0.29783503417088286,0.6727291260958436,0.24366728123382556,0.6029325103848099,0.1855292418299443,0.10175872220755874,1.0,0.17141447463185358,0.3298692420784839,0.3295717148645629,0.2940877956646231,0.36134888782110913,0.1364948514614333,0.324169096417741,0.48035521858210506,0.011642642286830693,0.32051653766307214,0.3970155378913432,0.1856266886443615,0.3123789041644799,0.5041114485687683,0.30006876590354836,0.5625762499884189,0.3032903672695312,0.22596416542558728,0.19319172103222168,0.6655632965684476,0.6675789210576906,0.6004484658246466,0.5589679083918807,0.2503691587663232,0.5797783450781293,0.4226462558814081,0.20710301807975529,0.3397858202470966,0.48103020158513493,0.5870338906029452,0.21358523234601734,0.22395567520647233,0.285482713881507,0.29942972527048933,0.4365167030470183,0.3573195397840819
DRREDDY,0.17638617817501942,0.16038827032934488,0.2447241472909743,0.1536423528054782,0.0832696473568201,0.10586050280415857,0.2680283177539409,0.09767449845699021,0.13169138345959217,0.17698696642380377,0.1771185654587545,0.19653197687196464,0.4032152471056936,0.17141447463185358,1.0,0.14171714440815145,0.2627540515648423,0.24195548746043394,0.1538599599207944,0.10271412555696091,0.12322715903385485,0.19094400782996268,0.16299533614180023,0.04918970635340009,0.09781772603205734,0.2637022360154872,0.20169333506138853,0.24754683188302068,-0.04693772158624237,0.1356715616976745,0.21885717308570096,0.12706414512363948,0.20564590010787365,0.1967774221818284,0.20081652147555254,0.18401983769311947,0.16591932243515067,0.20271077370283277,0.1338977278666384,0.16235024306890175,0.42074267630341095,0.11119467755876594,0.20149089011800808,0.21413778193898944,0.24505564106868824,0.23758232875050636,0.1359538753653863,0.1816468439486099,0.2518941347569416,0.2745821066429248
EICHERMOT,0.36476391783723644,0.29809347453777335,0.3086885603316536,0.29461484140970967,0.30310320981545136,0.27887269762569794,0.2420169248392152,0.1895157880386772,0.29642464860080886,0.26524260162266405,0.23047464441022897,0.1649896098407757,0.0906114451006955,0.3298692420784839,0.14171714440815145,1.0,0.3903110304039158,0.22980665297956224,0.2916041330139624,0.23689670854277325,0.29129208745865115,0.3049011839454423,0.12716028023149775,0.35328305911511204,0.2722450272398081,0.1716942023893456,0.32020087253283985,0.3708436025469581,0.23317573810582884,0.3433829392645508,0.35743636400826356,0.3677823792482536,0.2137608350960455,0.2967348557641018,0.25769630396443793,0.2609421075015003,0.3701935462383159,0.3047776514173519,0.32732026382772755,0.341719153402837,0.18635256234745437,0.21933640748524208,0.35572032211299975,0.3386307067784685,0.21724994441704024,0.2244897034562706,0.29736381591752825,0.2566072588294548,0.3094175842495121,0.31812840737257986
GRASIM,0.4097162825668883,0.4273855986438516,0.278899060346968,0.40253395793909386,0.3737288951397159,0.2626944767746703,0.4273081012367198,0.3808595430953538,0.40751220769236923,0.2798576552692092,0.34778140444102196,0.3078017596029306,0.19472753267207343,0.3295717148645629,0.2627540515648423,0.3903110304039158,1.0,0.24580820936510456,0.3508362802556687,0.18557075544706375,0.3423164698774913,0.4877231744594267,0.21625535332218734,0.4399900487257426,0.3747535232659855,0.23551078980651377,0.3470411239124242,0.5504210410380789,0.2934347451693441,0.41401268995500673,0.3081649718545503,0.2599641674462988,0.35909501376720004,0.4500108339933125,0.35282638608602146,0.40783207740316835,0.4509739045289536,0.23128021716898012,0.4649432452835274,0.36148855800287844,0.2450446185537557,0.3693334111529299,0.3945479428012229,0.5006313652496488,0.258589780151438,0.21536838464399138,0.4045682475005472,0.271220772128395,0.6048053814802787,0.35288504629217404
HCLTECH,0.3310494497385063,0.3727583307426581,0.30627160542103843,0.24691037308704283,0.1364682095428967,0.24367910759364306,0.23218962448014796,0.19513494298728404,0.399638808797273,0.24841197893009884,0.1820909313264927,0.2991018248829879,0.10772787184144614,0.2940877956646231,0.24195548746043394,0.22980665297956224,0.24580820936510456,1.0,0.1962588481168099,0.025755761106735123,0.24186944756763243,0.3873377279612642,0.19651048236232108,0.22360601599925406,0.21205302539787296,0.6966020840396486,0.31557018282622756,0.33993144901198835,0.25154092727691574,0.3532052789640762,0.21772863901259237,0.146370481734447,0.3368563702904838,0.3409211577867336,0.2621209813097929,0.28608580105615405,0.3908603988148975,0.20013844792624344,0.341374472027284,0.23027501040786974,0.19748956513336827,0.41342182523642046,0.3761329432657076,0.33557492341455764,0.6788875695150569,0.5596835577104645,0.269088321475907,0.2795315373885059,0.3898259175196191,0.6528615914136645
HDFCBANK,0.45903722051871493,0.5083788604040116,0.15323556183735138,0.37491322633146185,0.4296184127776152,0.282819244606972,0.30228898639135227,0.34773802079841915,0.46580761187982855,0.18321650013680402,0.23424593397032353,0.21660735419170904,0.01527282132399829,0.36134888782110913,0.1538599599207944,0.2916041330139624,0.3508362802556687,0.1962588481168099,1.0,0.1401683181872126,0.20110885551010943,0.3957238379450579,0.14430509716605097,0.48389279387640954,0.4158623591976788,0.19019478194105255,0.2913555882929113,0.45175072593953275,0.481422862263406,0.44419777614766337,0.3431949236517133,0.1789588323694266,0.2776433353740218,0.4644814124482622,0.3056895793325288,0.42575886256691786,0.40291499838326933,0.184975603817938,0.44650132574266227,0.3220516827754653,0.11843889149924589,0.2811683329010838,0.3246715804060714,0.4592505643935869,0.18418431398384363,0.27574188125993926,0.25023407184001234,0.1643296334668887,0.4808573222491322,0.34967545424309554
HDFCLIFE,0.09513782309425996,0.078431610505679,0.12120041576127012,0.1065903455302492,0.23250799199039587,0.09051147474867874,0.3500846098538868,0.2930639384580246,0.07281260272315804,0.22183364775469322,0.17865350357759283,-0.08685733627279753,0.0662283706570522,0.1364948514614333,0.10271412555696091,0.23689670854277325,0.18557075544706375,0.025755761106735123,0.1401683181872126,1.0,0.14328896993100312,0.05016890300454446,0.0931887530835803,0.1358292401566862,0.13187266712019818,0.02830054175754127,0.1013493657149074,0.15979598177851073,0.12954520049345122,0.15049130601503174,0.1915610180635836,0.2977230784713047,-0.035611740698661874,0.07834791408291042,0.19547473325690437,-0.0033855578885485372,0.13724612938791148,0.5907584417702032,0.11088757481411146,0.3254221758370304,0.15218833370131382,0.06759157936710583,0.1107421457278963,0.19196914708795162,0.01414293193171938,0.07293726681995726,0.18074733790772696,0.15435566446245322,0.05155561493416686,0.06386453572400645
HEROMOTOCO,0.31443315650258113,0.32190286916801547,0.28696738103348357,0.2664800465331384,0.20589472893463232,0.4637852296582232,0.24901388588090553,0.21574249743083332,0.21096098985959227,0.16037186356274094,0.24633363758999027,0.27200602554555325,0.1606919660074078,0.324169096417741,0.12322715903385485,0.29129208745865115,0.3423164698774913,0.24186944756763243,0.20110885551010943,0.14328896993100312,1.0,0.323739793609641,0.25618664581481077,0.2220433917198596,0.2645987433310693,0.19025606843164888,0.20050647907482022,0.29711957721770416,0.21627194873769104,0.302450437666612,0.36314064248187206,0.24208170363423284,0.37049231371230484,0.24945834892007868,0.22393938755861267,0.2252011792532468,0.3278932082611364,0.1922388097525574,0.23603877181588975,0.27413245884088694,0.24466592851053942,0.31903944709391335,0.37304059284754737,0.34513810076960205,0.22492708259045557,0.16365009382789097,0.345674588894235,0.25885673046313323,0.4070043249316325,0.301504321401224
HINDALCO,0.4855285686690014,0.538397897617436,0.1119294676851272,0.34953669930129105,0.24131061955878694,0.325095711852755,0.25651271121811414,0.2670826662970176,0.549021601193494,0.23543333646933454,0.3582210612153088,0.2859070091494817,0.14563583229008123,0.48035521858210506,0.19094400782996268,0.3049011839454423,0.4877231744594267,0.3873377279612642,0.3957238379450579,0.05016890300454446,0.323739793609641,1.0,0.1539710639157549,0.3034299065719465,0.36575166807683285,0.2632154885106947,0.2937112696638577,0.6621104703666567,0.330841037801997,0.46485771897475686,0.2966825355816761,0.1836782964808975,0.35350116702137524,0.521005549449214,0.43507723441259927,0.5127818649658668,0.44562030802255614,0.14835200184129976,0.46942833748604007,0.30547924012265687,0.28267753265719897,0.39054421022228386,0.4692429503869255,0.6630754609807512,0.3118580477364907,0.3011698664400089,0.31382818710654237,0.3204337008467662,0.497982343317796,0.4248289077569858
HINDUNILVR,0.11587993271040152,0.13905538972430226,0.12553736348759223,0.3251831837995584,0.016409321909951497,0.17133753577727434,0.1361070233822018,0.13149887694826967,0.06198254352369118,0.13398760495041065,0.014328699851476273,0.5151297719531474,0.06396610099581729,0.011642642286830693,0.16299533614180023,0.12716028023149775,0.21625535332218734,0.19651048236232108,0.14430509716605097,0.0931887530835803,0.25618664581481077,0.1539710639157549,1.0,0.06099791600397047,0.1265156946368256,0.21357562580662565,0.37162197137692643,0.19233724271595426,0.22166705489855804,0.09213728838878935,0.14400379612742767,0.1216151976619822,0.5109618799926364,0.06093022829063875,0.002860879002907533,0.027238537449537227,0.1563335738329059,0.2600483638245196,0.025579676628694002,0.02852896527664033,0.07768522287543433,0.4529358564780529,0.14905117685691602,0.12994181250738399,0.22565118082751737,0.17808053789099954,0.236183539388934,0.11908531474653967,0.2541682036958712,0.2618136681233688
ICICIBANK,0.4585121539279146,0.5166806683855069,0.19360320542932094,0.26111197682025583,0.6335654165000859,0.20059836630051375,0.39952314413283624,0.3594998601350724,0.43377565582564664,0.3446099277696612,0.2180828246146972,0.18455426583191756,0.11693561285076366,0.32051653766307214,0.04918970635340009,0.35328305911511204,0.4399900487257426,0.22360601599925406,0.48389279387640954,0.1358292401566862,0.2220433917198596,0.3034299065719465,0.06099791600397047,1.0,0.3960464059941347,0.2601650348896983,0.4015600904917293,0.4474256637983876,0.4880625174846242,0.48921460334712064,0.3242930435329521,0.18706990466900464,0.2606486856483204,0.44551442380058376,0.295407575454156,0.3873809114930058,0.472459868946486,0.1823384850833381,0.5677161525040255,0.43628871813004744,0.24499230804847943,0.2797261447869913,0.3100401351839716,0.41498353807028826,0.27200226344980755,0.21803922516734453,0.20508410518963976,0.16887456473272544,0.506176883605471,0.3616809660359201
INDUSINDBK,0.48651497715774394,0.5203085720109086,0.15038065757120067,0.26578061064981023,0.3525380310417869,0.27885377552630747,0.4094678275065977,0.41451226310725003,0.3980986509092318,0.21153676519009862,0.35865862904575707,0.22185526616239606,0.07588002984132532,0.3970155378913432,0.09781772603205734,0.2722450272398081,0.3747535232659855,0.21205302539787296,0.4158623591976788,0.13187266712019818,0.2645987433310693,0.36575166807683285,0.1265156946368256,0.3960464059941347,1.0,0.15688776101456015,0.2541370145385665,0.46050081337363963,0.3710652036279842,0.48013391856471127,0.358508716987859,0.26292417626854914,0.29966506424346273,0.5143710101281604,0.33759701888963245,0.41103270267128955,0.44888984082445343,0.20791074868112772,0.5031332503162388,0.4196789242201129,0.15472068595837377,0.3765305770076384,0.4075414870054989,0.4493943465388775,0.18018200392614692,0.14291810177288466,0.28707536678568935,0.2407285066367995,0.41990937944093876,0.29349260661394155
INFY,0.23661394580845543,0.29227057892502545,0.13344154537407338,0.18468135271578928,0.1015057814608379,0.09101828854466543,0.2132431436387057,0.20175851504532075,0.28193034478709067,0.2934373408811899,0.14578006783477712,0.2244957561632262,0.10830701391425081,0.1856266886443615,0.2637022360154872,0.1716942023893456,0.23551078980651377,0.6966020840396486,0.19019478194105255,0.02830054175754127,0.19025606843164888,0.2632154885106947,0.21357562580662565,0.2601650348896983,0.15688776101456015,1.0,0.29235918812533995,0.26630245245563716,0.24389366539951218,0.30682006378530335,0.2495110292110599,0.09164383663986671,0.2328442341042059,0.23758208318044033,0.248648956844682,0.2018565243206327,0.2688503642129493,0.16613450614267733,0.2493867052835624,0.16147316377425525,0.1808447721226141,0.37524814152227903,0.25550821767981946,0.22789664465435186,0.7194040513826484,0.6577613050787487,0.26681161724185487,0.20591682244031098,0.32518171869810014,0.6055588010080921
ITC,0.4003716326471926,0.4364883862399108,0.20798819676737906,0.3718165692472309,0.2894074854885948,0.258978457369735,0.2902678889800094,0.3083657691241303,0.3746683707985749,0.2413311636979751,0.19934797056580272,0.45655679360147716,0.17206013178992716,0.3123789041644799,0.20169333506138853,0.32020087253283985,0.3470411239124242,0.31557018282622756,0.2913555882929113,0.1013493657149074,0.20050647907482022,0.2937112696638577,0.37162197137692643,0.4015600904917293,0.2541370145385665,0.29235918812533995,1.0,0.39911369192584173,0.3400618458725893,0.3476248145616769,0.21588865451519068,0.20145616681274692,0.4411251963743357,0.36785787297156186,0.22833224247299527,0.2573756945679133,0.3856045671743952,0.20763191903854333,0.3772801937831972,0.23454541247896887,0.22679026312853756,0.4387504229086856,0.2880698808686771,0.32855949347721103,0.27502361434762007,0.2743331825184959,0.38989997273046095,0.20711295817728756,0.4183127062290189,0.36604519558461895
